image_name,prdtypecode
image_1263597046_product_3804725264.jpg,10
image_1008141237_product_436067568.jpg,2280
image_938777978_product_201115110.jpg,50
image_457047496_product_50418756.jpg,1280
image_1077757786_product_278535884.jpg,2705
image_393356830_product_5862738.jpg,2280
image_907794536_product_91920807.jpg,10
image_999581347_product_344240059.jpg,2522
image_1325918866_product_4239126071.jpg,1280
image_1245644185_product_3793572222.jpg,2582
image_1111840281_product_1915836983.jpg,1560
image_1295816984_product_4127967621.jpg,1560
image_1204199842_product_3287127001.jpg,1281
image_1109088140_product_1882164320.jpg,1920
image_1292441752_product_4108914287.jpg,1560
image_1237257586_product_3718150116.jpg,2522
image_1239242410_product_3735707499.jpg,2403
image_1156191369_product_2666371748.jpg,2522
image_857195931_product_91015572.jpg,1140
image_1027257229_product_570628142.jpg,2280
image_1268740880_product_3936362802.jpg,2583
image_1199384348_product_3228900895.jpg,1280
image_1110089245_product_1893048509.jpg,1180
image_978593209_product_279822475.jpg,1140
image_1240721678_product_3748203527.jpg,1300
image_948608572_product_211334790.jpg,2462
image_1297749086_product_4137059841.jpg,1280
image_1148154575_product_2536863974.jpg,2522
image_1027317460_product_570663184.jpg,2280
image_1202890774_product_3226779852.jpg,1160
image_1313675704_product_4198487181.jpg,2060
image_874730792_product_49132716.jpg,40
image_1195260111_product_3079667218.jpg,1560
image_1248853903_product_3817904723.jpg,2522
image_1324384878_product_4237073471.jpg,40
image_1317753478_product_4211197055.jpg,2060
image_1264434293_product_3847254406.jpg,2060
image_1275613423_product_4007155304.jpg,1281
image_1276344493_product_4012748163.jpg,1920
image_1225887302_product_3147314797.jpg,2583
image_1316147329_product_4200874030.jpg,60
image_1092313319_product_1548294503.jpg,1180
image_1054895962_product_824469524.jpg,2522
image_1275678245_product_4006528698.jpg,1281
image_1027001857_product_569725834.jpg,2280
image_1136619798_product_2333136838.jpg,1920
image_1010065513_product_444108636.jpg,10
image_868167157_product_8870838.jpg,40
image_844838682_product_73334276.jpg,1160
image_1240783666_product_3748234383.jpg,1280
image_1322918708_product_4232229083.jpg,40
image_1288958984_product_4086457567.jpg,2403
image_1006538318_product_272891494.jpg,1281
image_941622055_product_207151480.jpg,2583
image_1234869213_product_3691441491.jpg,2403
image_1262082265_product_3904025129.jpg,1280
image_1071868057_product_476383013.jpg,2705
image_1102910727_product_1810701779.jpg,2403
image_1295960377_product_4128438373.jpg,2583
image_1260268384_product_3893192098.jpg,1300
image_1314541269_product_4186310238.jpg,1280
image_1133554532_product_2255444083.jpg,2403
image_1102363799_product_845432910.jpg,1320
image_1268466271_product_3951008374.jpg,1300
image_1105831362_product_1857269337.jpg,2583
image_1190251480_product_2534214666.jpg,2583
image_332521213_product_46540267.jpg,1140
image_1313789346_product_4200117001.jpg,2060
image_1148435669_product_1512728698.jpg,2280
image_984701340_product_289472891.jpg,2403
image_1265209491_product_3929890128.jpg,2583
image_1076659035_product_1366398939.jpg,2462
image_1090968564_product_1565732417.jpg,1140
image_1166636908_product_2823144007.jpg,2582
image_1118919143_product_1989328275.jpg,2403
image_979527054_product_258845359.jpg,2280
image_1276030225_product_4010224699.jpg,1302
image_1035262984_product_684292602.jpg,2060
image_1310653112_product_4182265443.jpg,1560
image_1276001955_product_4010221940.jpg,1302
image_1258507989_product_3885602739.jpg,50
image_1294197004_product_4122557333.jpg,1300
image_1227615603_product_532980611.jpg,2220
image_1317732300_product_4213435883.jpg,2060
image_1065997226_product_1158987675.jpg,2583
image_1050686036_product_969179882.jpg,1560
image_991347135_product_298737347.jpg,2462
image_1310308772_product_4182233005.jpg,1560
image_1201827372_product_3249398687.jpg,1280
image_1023325242_product_535993293.jpg,2522
image_1123155510_product_2050109964.jpg,2583
image_1253151856_product_3855161611.jpg,2583
image_1303739592_product_4159399664.jpg,1920
image_1316896303_product_4211078394.jpg,1280
image_1168125620_product_2852954663.jpg,2522
image_1280265865_product_4044463867.jpg,1560
image_1297907405_product_4137157149.jpg,2403
image_1303628870_product_4159071251.jpg,2522
image_1204635212_product_3294453709.jpg,1140
image_1262570063_product_3908951214.jpg,2060
image_1321747763_product_4223031202.jpg,2582
image_933239989_product_190095382.jpg,40
image_1007734210_product_435273724.jpg,2280
image_1275336103_product_4004145763.jpg,1920
image_1019306612_product_516394759.jpg,1300
image_1307828300_product_4172827940.jpg,1300
image_1312712907_product_4187799604.jpg,1180
image_933233675_product_190091299.jpg,40
image_1301011932_product_4150114277.jpg,2583
image_1046068518_product_871281071.jpg,1160
image_1003036081_product_388467753.jpg,1140
image_1148188616_product_2537777042.jpg,2705
image_855718390_product_49747548.jpg,2280
image_1221500392_product_3564368264.jpg,2403
image_1307881449_product_4173008727.jpg,1302
image_226693630_product_4293237.jpg,1160
image_1217414851_product_3494065274.jpg,2583
image_849770658_product_81245478.jpg,2583
image_1243659384_product_3775275367.jpg,2583
image_1256092774_product_3873228357.jpg,1560
image_1217330555_product_3493552571.jpg,1302
image_1287255019_product_4077173787.jpg,2060
image_957104790_product_223805274.jpg,2403
image_1319250947_product_4214101388.jpg,2060
image_1318433614_product_256504653.jpg,1320
image_1260347142_product_3893243612.jpg,1302
image_1129283127_product_2160576205.jpg,1140
image_287686036_product_4983688.jpg,2280
image_987567622_product_294403626.jpg,1280
image_1105980910_product_1859462393.jpg,2280
image_1263770707_product_3921350051.jpg,2583
image_1204663650_product_1807806498.jpg,10
image_1307498914_product_4170895440.jpg,1560
image_1202500058_product_3255495124.jpg,1560
image_1140310144_product_2406558169.jpg,1300
image_1275716747_product_4006540302.jpg,1281
image_1114982518_product_1932975409.jpg,1280
image_1007523858_product_435016460.jpg,2280
image_1068285873_product_1191766690.jpg,1320
image_1178310262_product_2984373231.jpg,2583
image_1257233352_product_3879890848.jpg,1300
image_1128331298_product_2142477536.jpg,2705
image_1000493207_product_353771623.jpg,40
image_1173879377_product_2932591602.jpg,1320
image_1075612752_product_1350498866.jpg,2705
image_1291328527_product_4101891756.jpg,2583
image_1311396789_product_4187115528.jpg,1300
image_1319679480_product_4214664230.jpg,1280
image_1100084859_product_1711734999.jpg,2905
image_1305110233_product_4164667711.jpg,2522
image_977732598_product_278528834.jpg,2705
image_1312146356_product_4193585163.jpg,1280
image_941678744_product_207257883.jpg,2583
image_913623620_product_158007233.jpg,1300
image_1309774406_product_4180534759.jpg,1180
image_1020456966_product_522627969.jpg,1160
image_1089053867_product_1547138559.jpg,2403
image_1322037360_product_4229642138.jpg,1920
image_1068211845_product_1190507078.jpg,1560
image_1270347057_product_3967114281.jpg,2522
image_1268908692_product_3944198188.jpg,1140
image_933576412_product_190730270.jpg,2403
image_1125330542_product_2091257012.jpg,2585
image_1172463223_product_2792163142.jpg,50
image_1127692645_product_278517003.jpg,2705
image_1144198526_product_2476577455.jpg,50
image_941166404_product_205828886.jpg,2280
image_1174586175_product_2940638631.jpg,2583
image_1132633996_product_2230071933.jpg,2060
image_1026795100_product_569548950.jpg,2280
image_1313241065_product_4197497931.jpg,1560
image_1314017000_product_4201306796.jpg,2583
image_1255146552_product_3868342085.jpg,1280
image_856259337_product_89332692.jpg,2280
image_1075760814_product_1352145663.jpg,2583
image_1323885488_product_4234288409.jpg,2060
image_1166818974_product_2685362450.jpg,2585
image_1273512063_product_3992742695.jpg,1920
image_1075760101_product_1352146059.jpg,2583
image_872533293_product_117625001.jpg,1160
image_1316199211_product_4200877294.jpg,60
image_1279757063_product_4041456409.jpg,1300
image_1249586764_product_3820236359.jpg,1560
image_1289179797_product_4086071880.jpg,2060
image_1124252085_product_2074172103.jpg,2583
image_1065109773_product_1146674244.jpg,1302
image_879080305_product_124387132.jpg,2280
image_1262582998_product_3908953944.jpg,2060
image_880172152_product_125293048.jpg,10
image_968772041_product_254956784.jpg,2403
image_1190118795_product_3090578073.jpg,2060
image_1121209482_product_2033308192.jpg,1320
image_1078942837_product_1411852196.jpg,2403
image_1163771899_product_2769353975.jpg,2403
image_1306813815_product_4168956093.jpg,1560
image_874729439_product_90948388.jpg,40
image_1140536440_product_1952792748.jpg,1140
image_1269906336_product_3212831992.jpg,2705
image_1256971266_product_3876189522.jpg,2522
image_1276875489_product_4017676858.jpg,1300
image_1301255126_product_4151269724.jpg,1940
image_1276348808_product_4012248865.jpg,2583
image_1321335022_product_4227063439.jpg,1280
image_1282285967_product_4055997671.jpg,1940
